country,index,name,n_turbines,power_mw,status,year,dist_coast,area_sqkm,lat,lon,2025,2030,2035,2040
United Kingdom,235,Hornsea Project 1 (Heron West) Wind Farm,58.0,406.0,Production,2020,102222.267044,118.549990915,53.89326725638946,1.730396303266054,406.0,406.0,406.0,406.0
United Kingdom,236,Hornsea Project 1 (Njord) Wind Farm,87.0,609.0,Production,2020,105672.621204,158.367416729,53.88033940191344,1.9106445281248146,609.0,609.0,609.0,609.0
United Kingdom,237,Norfolk Vanguard Wind Farm,225.0,1800.0,Approved,,47493.0220212,592.365374338,52.87043078410593,2.700287111099095,0.0,0.0,1786.6004962779157,1786.6004962779157
United Kingdom,238,Dogger Bank C,100.0,1200.0,Approved,,195786.12017,560.16835436,55.03989335932558,2.822688851974747,0.0,0.0,1191.0669975186104,1191.0669975186104
United Kingdom,239,East Anglia North Tranche One East  (Norfolk Vanguard East),90.0,1800.0,Planned,,69902.5636023,297.296117555,52.828683293916264,2.9250523147654155,0.0,0.0,0.0,0.0
United Kingdom,240,East Anglia North Tranche One West (Norfolk Vanguard West),90.0,1800.0,Planned,,47493.0214278,295.069255315,52.9120597205315,2.473391168999415,0.0,0.0,0.0,0.0
Netherlands,241,Borssele Kavel II,47.0,376.0,Production,2020,24230.4116054,63.5280734256,51.634964385352504,3.0693277681963522,376.0,376.0,376.0,376.0
Netherlands,242,Borssele Kavel III,37.0,351.5,Production,2020,29530.4642835,71.4897136752,51.668885781679734,2.969356603608149,351.5,351.5,351.5,351.5
Netherlands,243,Borssele Kavel IV,40.0,380.0,Production,2020,40217.6126119,74.6469463804,51.73625174660201,2.8821145246822626,380.0,380.0,380.0,380.0
Netherlands,244,WP Q10 / Eneco Luchterduinen,43.0,129.0,Production,2015,22340.7021942,15.9028206806,52.40508960261331,4.163090236453266,129.0,129.0,129.0,129.0
Netherlands,245,ZeeEnergie / Gemini II,75.0,300.0,Production,2017,57835.072395,33.3616137986,54.034502036722046,5.884259032879995,300.0,300.0,300.0,300.0
Netherlands,246,Buitengaats / Gemini I,75.0,300.0,Production,2017,56043.8600966,34.2622696,54.03833067772031,6.041731946589698,300.0,300.0,300.0,300.0
Netherlands,247,Borssele Kavel I,47.0,376.0,Production,2020,27336.4470449,64.8510000897,51.7472523524402,3.0601162640023194,376.0,376.0,376.0,376.0
United Kingdom,248,Hywind Scotland Pilot Park,5.0,30.0,Production,2017,22488.9894042,15.4030607767,57.48448678142321,-1.3604052676452696,30.0,30.0,30.0,30.0
United Kingdom,249,Ness of Duncansby,,100.0,Planned,,680.435349337,2.42442457059,58.662931877844315,-3.0399052379168654,0.0,0.0,0.0,0.0
United Kingdom,250,Cluaran Deas Ear,,1008.0,Planned,,38410.9208815,187.084583561,56.97488751677137,-1.3459019237294672,0.0,0.0,0.0,0.0
United Kingdom,251,Scoprojco1 TBC,,2610.0,Planned,,79494.0699299,858.457191279,56.687488259091545,-0.39285369569038797,0.0,0.0,0.0,0.0
United Kingdom,252,Buchan Offshore Wind Farm,,960.0,Planned,,74920.3174453,330.695639254,58.40871503079095,-1.2352298020508188,0.0,0.0,0.0,0.0
United Kingdom,253,Stromar,,1000.0,Planned,,36900.4388394,256.301626817,58.51438071828015,-2.1456147629671922,0.0,0.0,0.0,0.0
United Kingdom,254,Broadshore,,500.0,Planned,,47477.5369566,134.056064139,58.17323610104737,-1.8019990427115176,0.0,0.0,0.0,0.0
Germany,255,N-9.3,,1000.0,Planned,,99692.9062124,104.684121369,54.436362874451014,5.630720896976998,0.0,1761.5904812109347,1761.5904812109347,1761.5904812109347
United Kingdom,256,Marram,,3000.0,Planned,,75714.7044127,683.988510199,58.162037812686485,-0.6226070073422607,0.0,0.0,0.0,0.0
United Kingdom,258,South Pembrokeshire Demonstration Zone,,180.0,Planned,,13086.8696238,90.4163696852,51.47230075971187,-5.124966457084832,0.0,0.0,0.0,0.0
United Kingdom,259,Dudgeon Extension,,402.0,Planned,,26912.0393168,103.537428299,53.278877133556804,1.3733215219211936,0.0,0.0,0.0,0.0
United Kingdom,260,Awel y Môr,,576.0,Planned,,10628.4475854,106.526449156,53.465359961172695,-3.8022503266216017,0.0,0.0,0.0,0.0
United Kingdom,261,Erebus,,96.0,Planned,,30230.6234722,43.565355096,51.45714140741558,-5.603445957578595,0.0,0.0,0.0,0.0
Germany,262,N-6.7,,270.0,Planned,,94060.4805172,15.9060010642,54.36106126527216,5.846115696743747,0.0,475.62942992695235,475.62942992695235,475.62942992695235
United Kingdom,263,MachairWind,,2000.0,Planned,,0.0,753.745807367,56.01413752098244,-6.673811947831022,0.0,0.0,0.0,0.0
United Kingdom,265,Mara Mhor Offshore Wind Farm,,798.0,Planned,,62863.1627745,199.875553926,57.41865461063551,-0.5697460668663503,0.0,0.0,0.0,0.0
United Kingdom,266,West of Orkney Wind Farm,,2000.0,Planned,,4746.59529103,656.578951816,58.91536415742608,-4.19301840372645,0.0,0.0,0.0,0.0
United Kingdom,267,Morven,,2907.0,Planned,,61156.698299,860.358510598,56.65765281140405,-0.8746607070465856,0.0,0.0,0.0,0.0
United Kingdom,273,Five Estuaries,,353.0,Planned,,37460.6312515,148.651372631,51.90183532823775,2.161530292816588,0.0,0.0,0.0,0.0
United Kingdom,274,Caledonia Offshore Wind Farm,,1000.0,Planned,,23311.1748769,428.951268666,58.196927546473724,-2.486427587226612,0.0,0.0,0.0,0.0
United Kingdom,280,Hornsea Met Mast,1.0,,Production,,115663.859337,0.03137494654,53.885999912681605,1.9920000524587917,0.0,0.0,0.0,0.0
United Kingdom,281,Moray East Met Mast,,,Production,,26595.3635958,0.03139639496,58.18213327288716,-2.8202478526360983,0.0,0.0,0.0,0.0
United Kingdom,282,Seagreen Alpha Wind Farm,,1075.0,Approved,,26830.8510585,197.3569162,56.61115514229317,-1.8201370298534265,0.0,0.0,1066.9975186104218,1066.9975186104218
United Kingdom,283,North Falls Wind Farm,,504.0,Approved,,22379.5173475,150.05961097,51.75418842628505,1.9007521162682113,0.0,0.0,500.2481389578164,500.2481389578164
United Kingdom,284,Rampion Extension,,400.0,Planned,,13295.6525673,149.351088137,50.63319548777729,-0.508440167146929,0.0,0.0,0.0,0.0
United Kingdom,285,Fair Head,,100.0,Planned,,842.687507174,3.33624228654,55.22894189976078,-6.104343397378452,0.0,0.0,0.0,0.0
United Kingdom,286,Hornsea Project 2 (HOW02) Wind Farm,165.0,1386.0,Production,2022,89487.5676085,461.890328591,53.94037938715588,1.6876380671992748,1386.0,1386.0,1386.0,1386.0
